ward,poll_id,firm,date_conducted,date_published,sample_size,methodology,denominator,ballot_status,candidate_id,candidate_name,share,is_incumbent,is_residual,registration_status,undecided_share,source_url,notes
13,forum-ward13-2026-06-23,Forum Research,2026-06-23,2026-06-24,355,IVR,decided voters,different_candidate_field,moise,Chris Moise,0.35,true,false,registered,0.45,,Published decided-voter topline
13,forum-ward13-2026-06-23,Forum Research,2026-06-23,2026-06-24,355,IVR,decided voters,different_candidate_field,tate,Daniel Tate,0.19,false,false,unregistered,0.45,,Published decided-voter topline; not registered when this snapshot was built
13,forum-ward13-2026-06-23,Forum Research,2026-06-23,2026-06-24,355,IVR,decided voters,different_candidate_field,stikuts,Curran Stikuts,0.06,false,false,registered,0.45,,Published decided-voter topline
13,forum-ward13-2026-06-23,Forum Research,2026-06-23,2026-06-24,355,IVR,decided voters,different_candidate_field,residual,Other candidates,0.40,false,true,residual,0.45,,Published aggregate for all other named or unnamed choices
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,layton,Mike Layton,0.44,false,false,registered,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,Operative scenario: field matches the registered ballot after Layton entered; decided/leaning base 385 of 449; undecided ~14.3% derived from base; Forum named 5 of 11 registered candidates
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,saxe,Dianne Saxe,0.17,true,false,registered,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,blanc,Gabe Blanc,0.06,false,false,registered,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,yoon,Diana Yoon,0.05,false,false,registered,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,fisher,Dana Fisher,0.02,false,false,registered,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-layton,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,residual,Other candidates,0.26,false,true,residual,0.143,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-current,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,saxe,Dianne Saxe,0.41,true,false,registered,0.305,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,"Superseded scenario: excluded Mike Layton, who has since registered (the -layton reading is operative); decided/leaning base 312 of 449; undecided ~30.5% derived from base"
11,forum-ward11-2026-08-12-current,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,yoon,Diana Yoon,0.09,false,false,registered,0.305,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-current,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,fisher,Dana Fisher,0.08,false,false,registered,0.305,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-current,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,blanc,Gabe Blanc,0.05,false,false,registered,0.305,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
11,forum-ward11-2026-08-12-current,Forum Research,2026-08-12,2026-08-13,449,IVR,decided voters,different_candidate_field,residual,Other candidates,0.37,false,true,residual,0.305,https://www.forumresearch.com/news/2026/08/dianne-saxe-leads-university-rosedale-municipal-election-poll,
5,forum-ward05-2026-06-23,Forum Research,2026-06-23,2026-06-24,301,IVR,decided voters,different_candidate_field,nunziata,Frances Nunziata,0.42,true,false,registered,0.26,https://www.forumresearch.com/news/2026/06/frances-nunziata-leads-in-a-divided-york-south-weston-municipal-election-poll-and-brad-bradford-leads-for-the-mayoral-preference,Decided-voter topline (published shares sum to 99 due to rounding); undecided 26% published; Forum named 3 of the ward field
5,forum-ward05-2026-06-23,Forum Research,2026-06-23,2026-06-24,301,IVR,decided voters,different_candidate_field,digiorgio,David DiGiorgio,0.24,false,false,registered,0.26,https://www.forumresearch.com/news/2026/06/frances-nunziata-leads-in-a-divided-york-south-weston-municipal-election-poll-and-brad-bradford-leads-for-the-mayoral-preference,"On the ballot as 'Daniel Di Giorgio' (Forum published 'David DiGiorgio' — first-name/spacing discrepancy, treated as the same candidate)"
5,forum-ward05-2026-06-23,Forum Research,2026-06-23,2026-06-24,301,IVR,decided voters,different_candidate_field,padovani,Chiara Padovani,0.2,false,false,registered,0.26,https://www.forumresearch.com/news/2026/06/frances-nunziata-leads-in-a-divided-york-south-weston-municipal-election-poll-and-brad-bradford-leads-for-the-mayoral-preference,
5,forum-ward05-2026-06-23,Forum Research,2026-06-23,2026-06-24,301,IVR,decided voters,different_candidate_field,residual,Other candidates,0.14,false,true,residual,0.26,https://www.forumresearch.com/news/2026/06/frances-nunziata-leads-in-a-divided-york-south-weston-municipal-election-poll-and-brad-bradford-leads-for-the-mayoral-preference,Residual reconciled to 14% so decided shares total 100 (Forum published Other 13%; named 42/24/20 sum to 86)
19,forum-ward19-2026-06-23,Forum Research,2026-06-23,2026-06-24,367,IVR,decided voters,different_candidate_field,erskine-smith,Nate Erskine-Smith,0.69,false,false,registered,0.27,https://www.forumresearch.com/news/2026/06/nate-erskine-smith-well-ahead-in-beacheseast-york-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,Open seat (Bradford leaving for mayoral race); decided-voter topline; undecided 27% published; residual reconciled from Forum's Other 5% to 6% so shares total 100
19,forum-ward19-2026-06-23,Forum Research,2026-06-23,2026-06-24,367,IVR,decided voters,different_candidate_field,johnson,Natalie Johnson,0.16,false,false,registered,0.27,https://www.forumresearch.com/news/2026/06/nate-erskine-smith-well-ahead-in-beacheseast-york-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
19,forum-ward19-2026-06-23,Forum Research,2026-06-23,2026-06-24,367,IVR,decided voters,different_candidate_field,dann,James Dann,0.09,false,false,registered,0.27,https://www.forumresearch.com/news/2026/06/nate-erskine-smith-well-ahead-in-beacheseast-york-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
19,forum-ward19-2026-06-23,Forum Research,2026-06-23,2026-06-24,367,IVR,decided voters,different_candidate_field,residual,Other candidates,0.06,false,true,residual,0.27,https://www.forumresearch.com/news/2026/06/nate-erskine-smith-well-ahead-in-beacheseast-york-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
19,forum-ward19-2026-08-12,Forum Research,2026-08-12,2026-08-13,386,IVR,decided voters,different_candidate_field,erskine-smith,Nate Erskine-Smith,0.53,false,false,registered,0.23,https://www.forumresearch.com/news/2026/08/nate-erskine-smith-holds-commanding-lead-in-beacheseast-york-municipal-election-poll,Open seat (Bradford leaving for mayoral race); decided/leaning topline; undecided 23% published; shares total 100
