ward,candidate_name,name_recognition_tier,mayoral_alignment,endorsements,notes,last_updated
1,Ala'a Adib,unknown,unaligned,,,2026-05-08
1,Saima Babar,unknown,unaligned,,,2026-05-08
2,Jennifer Alexander,unknown,unaligned,,,2026-05-08
4,Nadia Guerrera,known,unaligned,,Ontario Liberal Party candidate in York South—Weston (2022) and Parkdale—High Park (2025),2026-05-07
4,Diana Chan McNally,unknown,unaligned,,Housing advocate,2026-05-07
4,Bridget Ogundipe,unknown,unaligned,,,2026-05-08
4,Adam Pham,unknown,unaligned,,,2026-05-08
4,Vanessa Raponi,unknown,unaligned,,,2026-05-08
5,Daniel Di Giorgio,unknown,unaligned,,,2026-05-08
5,Chiara Padovani,well-known,unaligned,,Tenant advocate; runner-up in Ward 5 in the 2022 election,2026-05-07
7,Amanda Coombs,unknown,unaligned,,,2026-05-08
8,Daniel Trayes,unknown,unaligned,,,2026-05-08
10,Paul Nash,unknown,unaligned,,,2026-05-08
11,Gabriel Blanc,unknown,unaligned,,Former policy analyst for Councillor Shelley Carroll,2026-05-07
11,Keenan Courtis,unknown,unaligned,,,2026-05-08
11,Terri Hawkes,unknown,unaligned,,,2026-05-08
11,Alice Li,unknown,unaligned,,,2026-05-08
13,Joe Cadeau,unknown,unaligned,,,2026-05-08
13,Walied Khogali Ali,known,unaligned,,Co-chair of the Regent Park Neighbourhood Association; fifth-place candidate in Ward 13 in the 2018 election,2026-05-07
13,Curran Stikuts,unknown,unaligned,,Former advocacy director of The 519 community centre,2026-05-07
13,Nicki Ward,well-known,unaligned,,Former president of a housing co-op; runner-up in Ward 13 in the 2022 election; Green Party candidate in Toronto Centre in the 2022 provincial election,2026-05-07
17,Sabrina Zuniga,unknown,unaligned,,,2026-05-08
18,Natik Yusifov,unknown,unaligned,,,2026-05-08
19,James Dann,unknown,unaligned,,Former manager of waterfront parks for the City of Toronto,2026-05-07
19,Tycen Legg,unknown,unaligned,,,2026-05-08
19,Kevin Morrison,known,unaligned,,Toronto Catholic District School Board trustee,2026-05-07
19,Adam Smith,known,unaligned,,Third-place finisher in Ward 19 in the 2022 election,2026-05-07
20,Ariel-Rachel Karokis,unknown,unaligned,,,2026-05-08
20,Philip Mills,unknown,unaligned,,,2026-05-08
21,Krissan Veerasingam,unknown,unaligned,,,2026-05-08
22,Dan Lovell,known,unaligned,,Ran for the NDP in Scarborough—Agincourt in the 2025 federal election,2026-05-07
23,Kevin Li,unknown,unaligned,,,2026-05-08
25,Shawn Allen,known,unaligned,,Placed third in the 2025 by-election,2026-05-07
